09/15/2020,$7.09,5743489,$6.86,$7.26,$6.685
09/16/2020,$8.68,19346510,$7.03,$9.04,$7.03
09/17/2020,$9.2,17026720,$8.57,$9.77,$8.41
09/18/2020,$9.47,17407510,$9.2,$9.77,$8.91
09/21/2020,$8.75,7639806,$9.35,$9.6,$8.38
09/22/2020,$10.56,34752480,$10.45,$11.1699,$9.9
09/23/2020,$10.04,10651150,$10.6,$10.86,$9.92
09/24/2020,$9.14,7938838,$9.71,$9.81,$9.01
09/25/2020,$10.02,7515157,$9.19,$10.1826,$9.1
09/28/2020,$10.09,6764323,$10.16,$10.26,$9.55
09/29/2020,$10.35,5244339,$10,$10.65,$9.93
09/30/2020,$10.2,6079033,$10.25,$10.7597,$10.06
10/01/2020,$9.77,4554055,$10.09,$10.25,$9.69
10/02/2020,$9.39,4340484,$9.38,$9.78,$9.3
10/05/2020,$9.46,2804969,$9.44,$9.59,$9.2502
10/06/2020,$9.13,4535421,$9.56,$9.835,$9.1
10/07/2020,$9.36,3308644,$9.23,$9.56,$9.1678
10/08/2020,$13.49,76453560,$9.54,$13.64,$9.19
10/09/2020,$12.02,77152780,$12.83,$14.8,$11.9
10/12/2020,$11.8,23655700,$11.66,$12.7662,$11.4
10/13/2020,$11.88,10179710,$11.73,$12.42,$11.65
10/14/2020,$12.25,10776760,$12.67,$12.68,$12.05
10/15/2020,$13.83,39894820,$11.99,$15.1,$11.99
10/16/2020,$13.31,11651580,$13.77,$13.9,$13.08
10/19/2020,$13.91,13169070,$13.44,$14.5,$13.38
10/20/2020,$13.86,6603951,$14.03,$14.143,$13.665
10/21/2020,$14.1,5361928,$13.9,$14.42,$13.8
10/22/2020,$14.91,16212230,$14.2,$15.87,$14.19
10/23/2020,$15,6507324,$15.05,$15.38,$14.55
10/26/2020,$13.45,13376270,$14.93,$15.45,$13.26
10/27/2020,$12.69,7231006,$13.71,$13.71,$12.36
10/28/2020,$11.82,6388580,$12.27,$13.05,$11.78
10/29/2020,$11.73,4165843,$11.88,$12.25,$11.6801
10/30/2020,$10.47,11562370,$11.64,$11.64,$10.36
11/02/2020,$10.75,5227011,$10.82,$11.09,$10.5
11/03/2020,$11.57,7454472,$10.75,$11.86,$10.63
11/04/2020,$10.91,5807871,$11.76,$11.7699,$10.61
11/05/2020,$11.45,4705245,$11.27,$11.84,$11.06
11/06/2020,$11.86,5518243,$11.52,$12.17,$11.32
11/09/2020,$11.49,6244865,$12.76,$12.93,$11.25
11/10/2020,$11.1,3825963,$11.5,$11.66,$10.83
11/11/2020,$11.75,4882569,$11.5,$11.95,$11.21
11/12/2020,$11.13,4355892,$11.74,$11.87,$10.97
11/13/2020,$11.01,3546171,$11.36,$11.55,$11
11/16/2020,$12.06,9774824,$11.16,$12.6602,$10.72
11/17/2020,$11.63,6678176,$11.65,$11.92,$11.23
11/18/2020,$11.57,3169222,$11.8,$12.04,$11.56
11/19/2020,$12.46,11787610,$11.6,$12.79,$11.45
11/20/2020,$12.71,8402347,$12.55,$13.46,$12.54
11/23/2020,$13.9,9607973,$12.9,$14.12,$12.67
11/24/2020,$13.67,7186710,$14.23,$14.26,$13.3
11/25/2020,$14.75,8860092,$13.6,$15.25,$13.42
11/27/2020,$16.08,12504200,$15.29,$16.74,$14.88
11/30/2020,$16.56,31983500,$18.17,$19.42,$16.5575
12/01/2020,$15.8,12666030,$17.11,$17.4,$15.76
12/02/2020,$16.58,7883380,$15.7,$16.68,$15.38
12/03/2020,$16.12,6294965,$16.48,$16.64,$15.87
12/04/2020,$16.9,8972672,$16.3,$17.29,$16.26
12/07/2020,$16.35,7386258,$17,$17.5,$16.22
12/08/2020,$16.94,16120160,$16.37,$17.21,$15.93
12/09/2020,$13.66,24357940,$13.92,$14.73,$13.225
12/10/2020,$14.12,7558922,$13.12,$14.41,$13.05
12/11/2020,$13.31,7496868,$13.91,$14,$13.02
12/14/2020,$12.72,10007090,$13.34,$13.4335,$12.14
12/15/2020,$13.85,8192856,$12.78,$14.02,$12.48
12/16/2020,$13.85,5865123,$13.96,$14.305,$13.58
12/17/2020,$14.83,8194902,$13.96,$14.98,$13.59
12/18/2020,$15.63,16618780,$15.78,$16.3,$15.18
12/21/2020,$15.53,9876128,$15.81,$16.348,$15.28
12/22/2020,$19.46,30687720,$16.22,$20.04,$16.15
12/23/2020,$20.57,25830260,$20.17,$22.3499,$19.13
12/24/2020,$20.15,6262174,$21.01,$21.48,$19.95
12/28/2020,$20.99,8965858,$21.31,$21.97,$20.35
12/29/2020,$19.38,9241441,$20.82,$21.07,$18.56
12/30/2020,$19.26,5934391,$19.38,$20,$18.85
12/31/2020,$18.84,6922652,$19.25,$19.8,$18.8
01/04/2021,$17.25,10022470,$19,$19.1,$17.15
01/05/2021,$17.37,4961457,$17.35,$18.0765,$17.23
01/06/2021,$18.36,6056248,$17.34,$18.98,$17.33
01/07/2021,$18.08,6129276,$18.47,$19.45,$18.02
01/08/2021,$17.69,6481960,$18.18,$18.3,$17.08
01/11/2021,$19.94,14927610,$19.41,$20.65,$19.01
01/12/2021,$19.95,7060665,$19.96,$20.4,$19.3168
01/13/2021,$31.4,144501700,$20.42,$38.65,$20.03
01/14/2021,$39.91,93717410,$38.09,$43.06,$33.05
01/15/2021,$35.5,46866360,$38.49,$40.75,$34.01
01/19/2021,$39.36,74721920,$41.55,$45.52,$36.64
01/20/2021,$39.12,33471790,$37.37,$41.1899,$36.06
01/21/2021,$43.03,57079750,$39.23,$44.75,$37
01/22/2021,$65.01,197157900,$42.59,$76.7573,$42.32
01/25/2021,$76.79,177874000,$96.73,$159.18,$61.13
01/26/2021,$147.98,178588000,$88.56,$150,$80.2
01/27/2021,$347.51,93396670,$354.83,$380,$249
01/28/2021,$193.6,58815810,$265,$483,$112.25
01/29/2021,$325,50566060,$379.71,$413.98,$250
02/01/2021,$225,37382150,$316.56,$322,$212
02/02/2021,$90,78183070,$140.76,$158,$74.2201
02/03/2021,$92.41,42698510,$112.01,$113.3999,$85.25
02/04/2021,$53.5,62427280,$91.19,$91.5,$53.33
02/05/2021,$63.77,81345010,$54.04,$95,$51.09
02/08/2021,$60,25687280,$72.41,$72.66,$58.02
02/09/2021,$50.31,26843080,$56.61,$57,$46.52
